,A0,A1,A2,label
0,0.74,1.51,-0.12,1
1,0.68,-1.51,-0.14,1
2,0.65,-2.46,-0.26,1
3,0.66,0.51,-0.34,1
4,0.65,1.64,-0.29,1
5,0.65,-0.62,-0.28,1
6,0.65,-3.02,-0.26,1
7,0.66,-0.23,-0.25,1
8,0.62,1.76,-0.25,1
9,0.62,0.11,-0.24,1
10,0.58,-2.81,-0.21,1
11,0.58,-0.8,-0.21,1
12,0.6,1.3,-0.21,1
13,0.58,0.94,-0.2,1
14,0.59,-2.14,-0.14,1
15,0.57,-1.51,-0.05,1
16,0.54,0.41,0.05,1
17,0.53,1.36,0.1,1
18,0.54,-1.71,0.15,1
19,0.56,-2.42,0.2,1
20,0.58,0.18,0.1,1
21,0.58,1.49,0.12,1
22,0.53,-0.92,0.08,1
23,0.55,-2.55,0.1,1
24,0.57,-0.37,0.01,1
25,0.59,1.42,-0.04,1
26,0.6,0.34,-0.01,1
27,0.61,-2.52,-0.01,1
28,0.63,-1.26,-0.03,1
29,0.63,1.07,-0.03,1
30,0.65,1.19,-0.09,1
31,0.67,-1.5,-0.04,1
32,0.69,-2.09,-0.12,1
33,0.72,0.13,-0.14,1
34,0.77,1.29,-0.15,1
35,0.8,-0.62,-0.22,1
36,0.8,-2.34,-0.22,1
37,0.77,-0.89,-0.25,1
38,0.72,0.87,-0.24,1
39,0.64,0.89,-0.25,1
40,0.61,-1.42,-0.3,1
41,0.61,-1.88,-0.29,1
42,0.63,-0.15,-0.25,1
43,0.59,0.83,-0.27,1
44,0.59,0.14,-0.22,1
45,0.58,-1.6,-0.25,1
46,0.58,-1.42,-0.29,1
47,0.6,-0.24,-0.28,1
48,0.58,0.4,-0.28,1
49,0.54,0.14,-0.26,1
50,0.54,-1.26,-0.21,1
51,0.52,-1.14,-0.21,1
52,0.52,0.01,-0.15,1
53,0.57,0.53,-0.08,1
54,0.59,-0.47,-0.03,1
55,0.58,-1.74,-0.06,1
56,0.58,-1.21,-0.13,1
57,0.6,-0.34,-0.19,1
58,0.61,0.01,-0.22,1
59,0.6,-0.61,-0.07,1
60,0.59,-1.52,-0.07,1
61,0.62,-0.86,-0.16,1
62,0.62,-0.18,-0.16,1
63,0.64,0.15,-0.23,1
64,0.63,-0.02,-0.17,1
65,0.62,-1.77,-0.2,1
66,0.62,-1.72,-0.16,1
67,0.62,-0.21,-0.22,1
68,0.64,0.68,-0.19,1
69,0.68,0.68,-0.21,1
70,0.69,-1.21,-0.26,1
71,0.71,-1.49,-0.3,1
72,0.75,-0.18,-0.29,1
73,0.76,1.04,-0.31,1
74,0.73,0.84,-0.31,1
75,0.67,-1.42,-0.36,1
76,0.62,-1.66,-0.31,1
77,0.6,-0.09,-0.31,1
78,0.62,0.64,-0.27,1
79,0.6,0.52,-0.28,1
80,0.56,-0.31,-0.27,1
81,0.53,-1.13,-0.26,1
82,0.56,-0.98,-0.24,1
83,0.57,-0.54,-0.23,1
84,0.56,0.01,-0.22,1
85,0.57,0.5,-0.19,1
86,0.5,0.68,-0.15,1
87,0.5,-0.22,-0.1,1
